ID,Year,University Name English,I,We,You,She/He,They,Affiliation,Achievement,Power,All-or-none,Insight,Causation,Tentative,Certitude,Leisure,Home,Work,Money,Past Focus,Present Focus,Future Focus,WB: Direction,WB: Prosociality,WB: Means,WB: Identity,WB: Motivation,WB: Coherence,WB: Significance,WB: Spiritual,WB: Social Connections,WB: Purpose,WB: Meaning,Mindfulness
1423,2014,KAIST University,0.12,4.44,0.29,0.12,1.61,5.53,2.53,0.69,0.98,2.76,1.96,1.27,0.35,1.61,0.17,4.78,2.13,2.19,4.03,2.71,0.92,0.69,0.63,0.63,1.33,0.58,1.38,0.17,0.52,1.61,1.27,1.15
1425,2014,Kangwon National University,0.06,5.29,0,0.78,1.92,7.69,3.78,1.68,0.18,2.7,2.04,0.54,0.12,0.3,0,8.47,3.12,4.08,3.06,1.5,0.84,0.42,0.54,0.54,1.32,0.78,1.56,0.3,0.42,1.74,1.56,1.74
1429,2014,Konkuk University,0,4.26,0.15,0.15,2.65,5.07,5,2.65,0.74,2.94,2.5,0.96,0,0.29,0.07,9.34,3.31,4.34,4.71,1.1,2.5,0.66,2.43,2.21,3.16,0.66,3.31,0.44,0.59,3.75,3.46,1.54
1402,2014,Korea University,0,2.88,0.07,0.07,1.57,4.26,2.36,1.7,0.79,2.42,2.36,1.11,0.13,0.2,0,10.35,3.47,4.13,3.99,1.57,0.98,0.85,0.46,0.46,1.64,0.98,1.7,0.33,0.85,1.83,1.51,1.24
1408,2014,Kyonggi University,0,4.21,0.09,0.09,0.81,5.01,3.76,1.79,0.45,2.42,3.31,0.45,0,0.36,0.09,6.36,5.28,3.4,3.4,1.7,1.43,1.07,0.54,0.54,1.79,0.81,1.79,0.18,0.27,2.33,1.61,0.9
1411,2014,Kyunghee University,0,3.08,0,0.84,2.13,4.04,1.74,0.9,0.22,2.13,2.41,0.73,0.28,0.56,0.11,6.33,4.76,2.86,5.16,1.18,1.18,0.45,1.07,0.73,1.85,1.12,1.91,0.17,0.45,2.07,1.96,1.18
1420,2014,Myongji University,0.78,2.83,0.06,0,3.14,5.43,2.9,1.45,0.6,3.02,3.14,0.9,0.24,0.42,0,6.57,5.19,3.74,3.5,1.75,2.53,1.33,0.66,1.45,3.26,2.59,3.02,0.78,1.45,3.62,2.59,1.45
1405,2014,Sejong University,0,3,0.1,0.2,1.83,4.74,2.44,2.09,0.15,1.48,2.65,0.87,0.05,0.71,0.1,6.67,3.62,6.42,2.49,1.58,1.37,0.76,0.66,0.87,2.04,1.12,1.73,0.51,1.02,2.85,2.29,1.22
1419,2014,Seoul National University,0,5.39,0.65,0,2.73,6.82,4.6,2.66,0.65,2.44,1.8,0.65,0.65,0.36,0,7.04,3.81,3.88,1.8,1.44,1.87,0.86,1.29,1.44,2.3,1.08,2.59,0.43,0.86,3.02,2.87,1.72
1417,2014,Seoul National University of Science and Technology,0.06,4.81,0.06,3.59,2.82,6.42,3.21,1.73,0.51,2.7,2.57,0.39,0.26,0.06,0.13,4.49,2.25,4.49,3.27,1.73,2.25,0.96,0.96,2.37,3.4,2.37,1.99,1.67,2.63,4.04,2.44,1.67
